"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Silver Linings Playbook","David O. Russell","United States",2012,"Comedies, Dramas, Independent Movies","After a stint in a mental hospital, Pat moves in with his parents and tries to win back his wife, until he meets a woman who's as unstable as he is.","Silver Linings Playbook","Drama,Comedy,Romance",81,"4 stars"
"The Edge of Democracy","Petra Costa","Brazil",2019,"Documentaries, International Movies","Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.","The Edge of Democracy","History,Documentary",81,"4 stars"
"Hairspray","Adam Shankman","United States, United Kingdom, Canada",2007,"Children & Family Movies, Comedies, Music & Musicals","In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.","Hairspray","Comedy,Romance,Musical",81,"4 stars"
"Daughters of the Dust","Julie Dash","United Kingdom, United States",1991,"Classic Movies, Dramas, Independent Movies","An African American Gullah family leaves their coastal island home in 1902 and risks losing their culture to start a new life on the U.S. mainland.","Daughters of the Dust","Drama,Romance",81,"4 stars"
"Mirai","Mamoru Hosoda","Japan",2018,"Action & Adventure, Anime Features, Children & Family Movies","Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house.","Mirai","Adventure,Drama,Fantasy,Animation,Family",81,"4 stars"
"District 9","Neill Blomkamp","South Africa, United States, New Zealand, Canada",2009,"Action & Adventure, International Movies, Sci-Fi & Fantasy","After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.","District 9","Action,Sci-Fi,Thriller",81,"4 stars"
"Menashe","Josh Z. Weinstein, Joshua Z. Weinstein","United States",2017,"Dramas, Independent Movies","A year after his wife's death, a widower faces pressure from his Hasidic community to give up his son for adoption unless he finds a new partner.","Menashe","Drama",81,"4 stars"
"Locke","Steven Knight","United Kingdom, United States",2013,"Dramas, Independent Movies","Over the space of 90 minutes, Ivan Locke's life spins out of control via a series of phone calls made while he drives down the highway to London.","Locke","Drama,Thriller",81,"4 stars"
"Four Weddings and a Funeral","Mike Newell","United Kingdom",1994,"Classic Movies, Comedies, International Movies","A commitment-phobic Brit tries to reconnect with an alluring American who's about to make a seemingly awful mistake by marrying a wealthy, boring man.","Four Weddings and a Funeral","Drama,Comedy,Romance",81,"4 stars"
"Wadjda","Haifaa Al-Mansour","Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",2012,"Dramas, International Movies, Sports Movies","A persistent 10-year-old wishes for a new bicycle so she can beat her friend (a boy) in a race. But it's going to take some ingenuity to get one.","Wadjda","Drama",81,"4 stars"
"Blue Valentine","Derek Cianfrance","United States",2010,"Dramas, Independent Movies, Romantic Movies","As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance.","Blue Valentine","Drama,Romance",81,"4 stars"
"Ai Weiwei: Never Sorry","Alison Klayman","United States",2012,"Documentaries","Chinese artist and activist Ai Weiwei uses social media and art to inspire protests and suffers government persecution for his actions.","Ai Weiwei: Never Sorry","Documentary",81,"4 stars"
"Wildlife","Paul Dano","United States",2018,"Dramas, Independent Movies","A teen’s life in 1960 Montana grows complicated when his father is fired, his mother returns to work, and the strain on the family begins to show.","Wildlife","Drama",80,"4 stars"
"A Clockwork Orange","Stanley Kubrick","United Kingdom, United States",1971,"Classic Movies, Cult Movies, Dramas","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.","A Clockwork Orange","Sci-Fi,Drama,Thriller,Crime",80,"4 stars"
"Boy and the World","Alê Abreu","Brazil",2013,"Children & Family Movies","Young Cuca leaves his idyllic village on a grand adventure to find his father, who has traveled to the city seeking work.","Boy and the World","Adventure,Animation,Family",80,"4 stars"
"True Grit","Henry Hathaway","United States",1969,"Classic Movies, Dramas","Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.","True Grit","Drama,Western",80,"4 stars"
"Junebug","Phil Morrison","United States",2005,"Comedies, Dramas, Independent Movies","When a big-city art dealer travels to North Carolina to meet her new husband's small-town family, their trip gives rise to a multitude of problems.","Junebug","Drama,Comedy",80,"4 stars"
"Good Time","Benny Safdie, Josh Safdie","United States",2017,"Dramas, Independent Movies, Thrillers","After spearheading an ill-fated bank robbery, a man must get his mentally challenged younger brother out of jail while eluding his own capture.","Good Time","Drama,Thriller,Crime",80,"4 stars"
"Coraline","Henry Selick","United States",2009,"Children & Family Movies","Curious young Coraline unlocks a door in her family's home and is transported to a universe that strangely resembles her own – only better.","Coraline","Adventure,Fantasy,Animation,Family",80,"4 stars"
"Casino Royale","Martin Campbell","United Kingdom, Czech Republic, United States, Germany, Bahamas",2006,"Action & Adventure","Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.","Casino Royale","Action,Adventure,Thriller",80,"4 stars"
"The Endless","Justin Benson, Aaron Moorhead","United States",2017,"Independent Movies, Sci-Fi & Fantasy, Thrillers","As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.","The Endless","Sci-Fi,Thriller,Fantasy,Horror",80,"4 stars"
"Unrest","Jennifer Brea","United Kingdom, United States",2017,"Documentaries","In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome.","Unrest","Drama,History,Romance,Documentary",80,"4 stars"
"Beasts of No Nation","Cary Joji Fukunaga","United States",2015,"Dramas, Independent Movies","When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.","Beasts of No Nation","Drama,War",79,"4 stars"
"Free Willy","Simon Wincer","United States, France, Mexico",1993,"Children & Family Movies, Dramas","Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.","Free Willy","Adventure,Drama,Family",79,"4 stars"
"One of Us","Heidi Ewing, Rachel Grady","United States",2017,"Documentaries","In the wake of trauma and abuse, three Hasidic Jews face ostracism, anxiety and danger as they attempt to leave their ultra-Orthodox community.","One of Us","Documentary",79,"4 stars"
"City of God","Fernando Meirelles, Katia Lund","Brazil, France, Germany",2002,"Dramas, Independent Movies, International Movies","Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.","City of God","Drama,Crime",79,"4 stars"
"Tarzan","Chris Buck, Kevin Lima","United States",1999,"Children & Family Movies","After being shipwrecked off the African coast, a lone child grows up in the wild, and is destined to become lord of the jungle.","Tarzan","Adventure,Drama,Animation,Family",79,"4 stars"
"Night Comes On","Jordana Spiro","United States",2018,"Dramas, Independent Movies","A teen fresh out of juvenile detention tries to rescue her sister from foster care in order to exact revenge on their father for their mother's murder.","Night Comes On","Drama",79,"4 stars"
"Winter on Fire: Ukraine's Fight for Freedom","Evgeny Afineevsky","United Kingdom, Ukraine, United States",2015,"Documentaries, International Movies","Over 93 days in Ukraine, what started as peaceful student demonstrations became a violent revolution and full-fledged civil rights movement.","Winter on Fire: Ukraine's Fight for Freedom","Documentary",79,"4 stars"
"American Honey","Andrea Arnold","United Kingdom, United States",2016,"Dramas, Independent Movies","A teenage girl leaves her dull life in Oklahoma to join a raucous band of travelling magazine sellers on an alcohol-, drug- and sex-filled road trip.","American Honey","Drama,Comedy",79,"4 stars"
"Green Room","Jeremy Saulnier","United States",2015,"Horror Movies, Thrillers","At the end of their low-budget tour, a punk band accepts a gig at an isolated rural club, only to discover that their hosts are neo-Nazis.","Green Room","Thriller,Horror,Crime,Music",79,"4 stars"
"Searching for Sugar Man","Malik Bendjelloul","Sweden, United Kingdom, Finland",2012,"Documentaries, International Movies, Music & Musicals","Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol.","Searching for Sugar Man","Biography,Music,Documentary",79,"4 stars"
"The Fighter","David O. Russell","United States",2010,"Dramas, Sports Movies","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.","The Fighter","Drama,Sport",79,"4 stars"
"The Meyerowitz Stories (New and Selected)","Noah Baumbach","United States",2017,"Comedies, Dramas, Independent Movies","Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.","The Meyerowitz Stories (New and Selected)","Drama,Comedy",79,"4 stars"
"A Most Violent Year","J.C. Chandor","United Arab Emirates, United States",2014,"Dramas, Thrillers","Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.","A Most Violent Year","Action,Drama,Thriller,Crime",79,"4 stars"
"Loving","Jeff Nichols","United Kingdom, United States",2016,"Dramas, Romantic Movies","A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.","Loving","Biography,Drama,History,Romance",79,"4 stars"
